Round,Date,HomeTeam,HomeGoals,HomeYellows,HomeReds,HomeSecondYellows,AwayTeam,AwayGoals,AwayYellows,AwayReds,AwaySecondYellows,Referee,RefereeYellows,RefereeReds,Stadium,Location,Attendance
Round 15,22/12/20,Valencia,0,3,0,0,Sevilla,1,2,0,0,Valentin Pizarro Gomez,5.04,0.33,Mestalla,"Valencia, Spain",
Round 15,22/12/20,Huesca,1,2,0,0,Levante,1,3,0,0,Isidro Diaz de Mera Escuderos,6.35,0.35,El Alcoraz,"Huesca, Spain",
Round 15,22/12/20,Real Sociedad,0,3,0,0,Atl. Madrid,2,3,0,0,Guillermo Cuadra Fernandez,5.03,0.27,Reale Arena,"San Sebastian, Spain",
Round 15,22/12/20,Real Valladolid,0,1,0,0,Barcelona,3,2,0,0,Mario Melero Lopez,5.55,0.21,José Zorrilla,"Valladolid, Spain",
Round 15,22/12/20,Villarreal,1,1,0,0,Athletic Club,1,1,0,0,David Medie Jimenez,4.94,0.31,Estadio de la Ceramica,"Villarreal, Spain",
Round 15,23/12/20,Getafe,1,3,0,0,Celta,1,3,0,0,Pablo Gonzales Fuertes,5.91,0.37,Coliseum Alfonso Pérez,"Getafe, Spain",
Round 15,23/12/20,Real Madrid,2,2,0,0,Granada,0,1,0,0,Juan Martinez Munuera,4.9,0.19,Estadio Alfredo di Stefano,"Madrid, Spain",
Round 15,23/12/20,Alavés,2,4,0,0,Eibar,1,2,0,0,Carlos Del Cerro Grande,4.81,0.22,Estadio de Mendizorroza,"Vitoria-Gasteiz, Spain",
Round 15,23/12/20,Betis,1,1,0,0,Cádiz,0,1,0,0,Antonio Mateu Lahoz,5.18,0.22,Benito Villamarin,"Seville, Spain",
Round 14,18/12/20,Athletic Club,2,0,0,0,Huesca,0,2,1,0,Valentin Pizarro Gomez,5.04,0.33,San Mamés,"Bilbao, Spain",
Round 14,19/12/20,Atl. Madrid,3,1,0,0,Elche,1,2,0,0,Javier Estrada Fernandez,5.38,0.25,Cívitas Metropolitano,"Madrid, Spain",
Round 14,19/12/20,Barcelona,2,4,0,0,Valencia,2,2,0,0,Alejandro Hernandez,5.51,0.27,Spotify Camp Nou,"Barcelona, Spain",
Round 14,19/12/20,Levante,2,2,0,0,Real Sociedad,1,1,0,0,Cesar Soto Grado,5.5,0.2,Ciudad de Valencia,"Valencia, Spain",
Round 14,19/12/20,Osasuna,1,2,1,0,Villarreal,3,2,0,0,Jorge Figueroa Vazquez,4.82,0.36,Estadio El Sadar,"Pamplona, Spain",
Round 14,19/12/20,Sevilla,1,3,0,0,Real Valladolid,1,4,0,0,Jesus Gil Manzano,5.27,0.26,Ramón Sánchez Pizjuán,"Seville, Spain",
Round 14,20/12/20,Celta,2,2,0,0,Alavés,0,2,0,0,Antonio Alberola Rojas,3.75,0.25,Municipal de Balaidos,"Vigo, Spain",
