AwayAerialswon,AwayBallpossession,AwayDuelswon,AwayFouls,AwayInterceptions,AwayPossessionlost,AwayTackles,AwayTeam,Date,HomeAerialswon,HomeBallpossession,HomeDuelswon,HomeFouls,HomeInterceptions,HomePossessionlost,HomeTackles,HomeTeam,Round
12,72%,48,3,5,91,14,Barcelona,9/1/2021,7,28%,23,16,13,99,6,Granada,Round 18
13,70%,50,3,7,144,13,Real Madrid,9/1/2021,14,30%,40,9,17,129,10,Osasuna,Round 18
18,46%,50,8,11,167,19,Eibar,10/1/2021,24,54%,55,12,13,168,16,Levante,Round 18
33,61%,65,10,6,156,12,Alavés,10/1/2021,20,39%,51,17,5,153,11,Cádiz,Round 18
28,58%,63,14,4,156,12,Valencia,10/1/2021,15,42%,52,14,14,144,11,Real Valladolid,Round 18
14,54%,45,16,13,122,13,Getafe,11/1/2021,11,46%,43,14,12,121,8,Elche,Round 18
18,51%,71,13,10,149,21,Betis,11/1/2021,13,49%,67,12,7,147,27,Huesca,Round 18
9,53%,37,13,12,140,10,Athletic Club,10/3/2021,13,47%,51,12,13,126,18,Atl. Madrid,Round 18
6,50%,33,11,14,128,12,Levante,2/1/2021,12,50%,39,12,10,106,6,Villarreal,Round 17
15,55%,53,18,12,134,15,Sevilla,2/1/2021,13,45%,59,15,10,133,18,Betis,Round 17
21,46%,60,13,15,170,21,Real Valladolid,2/1/2021,27,54%,59,13,13,172,15,Getafe,Round 17
12,59%,49,14,11,126,14,Celta,2/1/2021,14,41%,48,14,14,99,15,Real Madrid,Round 17
10,51%,56,13,12,129,16,Elche,3/1/2021,13,49%,51,15,12,121,14,Athletic Club,Round 17
14,59%,47,12,9,144,17,Atl. Madrid,3/1/2021,9,41%,39,14,15,146,9,Alavés,Round 17
43,44%,81,9,9,205,21,Granada,3/1/2021,42,56%,66,10,9,220,10,Eibar,Round 17
40,38%,71,8,11,164,14,Osasuna,3/1/2021,22,62%,47,15,8,184,14,Real Sociedad,Round 17
9,69%,45,11,13,117,9,Barcelona,3/1/2021,2,31%,43,12,14,109,21,Huesca,Round 17
18,29%,42,17,11,125,8,Cádiz,4/1/2021,19,71%,57,11,8,140,17,Valencia,Round 17
6,57%,47,14,9,136,14,Villarreal,29/12/20,16,43%,59,13,15,115,21,Sevilla,Round 16
10,27%,39,15,9,152,19,Eibar,29/12/20,24,73%,68,6,7,138,17,Barcelona,Round 16
38,65%,77,13,18,179,17,Real Valladolid,29/12/20,31,35%,67,14,12,164,18,Cádiz,Round 16
13,62%,40,14,16,133,9,Betis,29/12/20,10,38%,56,9,9,128,23,Levante,Round 16
17,47%,57,15,14,132,16,Valencia,30/12/20,15,53%,49,16,10,154,13,Granada,Round 16
21,49%,52,12,15,176,18,Getafe,30/12/20,20,51%,60,7,14,177,18,Atl. Madrid,Round 16
12,43%,55,8,10,130,9,Huesca,30/12/20,18,57%,47,19,9,109,15,Celta,Round 16
10,68%,40,18,9,112,14,Real Madrid,30/12/20,4,32%,39,8,11,98,8,Elche,Round 16
28,39%,71,18,16,150,19,Real Sociedad,31/12/20,26,61%,65,23,9,159,14,Athletic Club,Round 16
19,68%,46,9,8,160,10,Alavés,31/12/20,20,32%,45,12,13,152,15,Osasuna,Round 16
26,34%,52,17,9,133,14,Osasuna,22/12/20,19,66%,53,8,9,138,13,Elche,Round 15
28,70%,69,17,8,128,11,Sevilla,22/12/20,20,30%,53,11,14,113,12,Valencia,Round 15
12,46%,47,17,11,131,20,Levante,22/12/20,12,54%,54,10,14,142,14,Huesca,Round 15
18,41%,56,17,5,126,10,Atl. Madrid,22/12/20,18,59%,54,20,7,142,10,Real Sociedad,Round 15
8,61%,42,10,19,102,10,Barcelona,22/12/20,6,39%,41,12,16,107,20,Real Valladolid,Round 15
14,34%,41,18,10,136,11,Athletic Club,22/12/20,17,66%,61,10,6,135,18,Villarreal,Round 15
29,62%,64,16,14,158,17,Celta,23/12/20,23,38%,55,17,9,149,8,Getafe,Round 15
13,33%,37,11,7,137,8,Granada,23/12/20,24,67%,53,13,7,127,14,Real Madrid,Round 15
19,56%,47,14,11,176,8,Eibar,23/12/20,38,44%,74,10,11,168,7,Alavés,Round 15
23,28%,54,9,8,150,13,Cádiz,23/12/20,21,72%,61,18,15,163,12,Betis,Round 15
7,46%,49,16,9,120,16,Huesca,18/12/20,12,54%,42,9,9,117,9,Athletic Club,Round 14
5,52%,38,14,10,94,11,Elche,19/12/20,7,48%,42,13,5,87,17,Atl. Madrid,Round 14
9,27%,43,14,14,104,18,Valencia,19/12/20,8,73%,55,10,11,127,11,Barcelona,Round 14
15,55%,57,14,10,119,11,Real Sociedad,19/12/20,10,45%,45,19,12,114,14,Levante,Round 14
12,68%,47,16,6,118,12,Villarreal,19/12/20,20,32%,48,17,8,118,10,Osasuna,Round 14
20,41%,56,10,12,144,18,Real Valladolid,19/12/20,10,59%,48,13,9,138,19,Sevilla,Round 14
23,45%,58,12,16,162,15,Alavés,20/12/20,10,55%,43,18,10,147,15,Celta,Round 14
34,69%,74,16,12,162,13,Betis,20/12/20,17,31%,55,21,10,138,16,Granada,Round 14
21,39%,52,23,7,142,15,Getafe,20/12/20,26,61%,77,8,10,135,15,Cádiz,Round 14
18,66%,52,7,13,144,9,Real Madrid,20/12/20,11,34%,37,11,15,141,8,Eibar,Round 14
34,53%,74,18,9,172,19,Osasuna,11/12/2020,25,47%,55,14,7,160,7,Real Valladolid,Round 13
23,60%,55,16,16,152,8,Athletic Club,12/12/2020,12,40%,47,19,13,128,12,Valencia,Round 13
17,75%,52,13,5,121,13,Sevilla,12/12/2020,12,25%,50,14,9,121,18,Getafe,Round 13
25,33%,51,20,4,131,13,Alavés,12/12/2020,19,67%,72,14,9,132,14,Huesca,Round 13
8,43%,47,16,8,126,19,Atl. Madrid,12/12/2020,5,57%,50,7,15,114,26,Real Madrid,Round 13
23,51%,51,11,17,166,11,Eibar,13/12/20,23,49%,50,14,9,155,14,Real Sociedad,Round 13
15,53%,53,14,7,135,14,Villarreal,13/12/20,19,47%,60,13,11,120,15,Betis,Round 13
19,32%,53,15,15,121,14,Granada,13/12/20,16,68%,58,16,5,126,17,Elche,Round 13
11,37%,33,15,13,109,12,Levante,13/12/20,10,63%,46,4,9,115,10,Barcelona,Round 13
21,39%,72,9,14,132,14,Cádiz,14/12/20,15,61%,40,24,7,125,9,Celta,Round 13
18,50%,59,15,17,157,26,Celta,4/12/2020,19,50%,57,7,21,162,13,Athletic Club,Round 12
13,31%,45,13,10,139,13,Getafe,5/12/2020,10,69%,52,12,5,130,17,Levante,Round 12
11,37%,52,20,9,120,15,Real Madrid,5/12/2020,12,63%,60,15,7,118,15,Sevilla,Round 12
15,46%,43,10,19,146,17,Real Valladolid,5/12/2020,13,54%,53,10,9,145,15,Atl. Madrid,Round 12
18,82%,54,7,5,148,11,Barcelona,5/12/2020,9,18%,39,10,22,118,15,Cádiz,Round 12
22,52%,51,16,20,141,11,Huesca,6/12/2020,23,48%,77,12,8,146,29,Granada,Round 12
29,52%,69,12,10,180,18,Betis,6/12/2020,39,48%,80,16,13,186,17,Osasuna,Round 12
12,43%,61,13,10,117,20,Elche,6/12/2020,13,57%,48,16,10,110,9,Villarreal,Round 12
13,68%,44,11,6,146,16,Real Sociedad,6/12/2020,24,32%,49,3,14,129,11,Alavés,Round 12
35,36%,58,10,6,180,8,Valencia,7/12/2020,23,64%,49,15,12,169,12,Eibar,Round 12
14,65%,53,11,8,154,13,Levante,27/11/20,13,35%,47,18,13,138,16,Real Valladolid,Round 11
9,53%,46,15,13,127,16,Cádiz,28/11/20,27,47%,62,16,8,111,16,Elche,Round 11
13,67%,51,15,8,142,17,Atl. Madrid,28/11/20,15,33%,42,12,17,133,8,Valencia,Round 11
27,68%,50,9,7,141,6,Sevilla,28/11/20,10,32%,39,14,19,127,12,Huesca,Round 11
18,32%,51,17,9,110,19,Alavés,28/11/20,12,68%,45,8,7,130,11,Real Madrid,Round 11
14,28%,39,12,14,115,15,Osasuna,29/11/20,12,72%,41,8,5,123,10,Barcelona,Round 11
30,48%,64,23,10,169,12,Athletic Club,29/11/20,20,52%,65,16,13,168,18,Getafe,Round 11
16,32%,47,13,10,133,9,Granada,29/11/20,28,68%,64,14,10,131,19,Celta,Round 11
14,45%,48,12,18,136,16,Villarreal,29/11/20,17,55%,49,18,4,148,7,Real Sociedad,Round 11
26,37%,65,14,11,180,15,Eibar,30/11/20,39,63%,67,13,14,191,13,Betis,Round 11
24,45%,56,15,15,174,11,Huesca,20/11/20,24,55%,50,14,10,183,7,Osasuna,Round 10
7,56%,57,11,15,123,25,Elche,21/11/20,7,44%,44,15,12,115,17,Levante,Round 10
6,53%,44,14,13,121,10,Real Madrid,21/11/20,4,47%,49,16,7,101,21,Villarreal,Round 10
19,43%,47,20,6,121,9,Celta,21/11/20,20,57%,65,14,9,126,9,Sevilla,Round 10
11,54%,49,6,10,112,18,Barcelona,21/11/20,8,46%,37,12,11,127,13,Atl. Madrid,Round 10
27,48%,54,22,12,184,8,Getafe,22/11/20,32,52%,77,16,16,180,9,Eibar,Round 10
15,68%,45,14,5,150,13,Real Sociedad,22/11/20,16,32%,63,14,12,139,27,Cádiz,Round 10
25,40%,61,14,11,137,12,Real Valladolid,22/11/20,23,60%,56,16,10,154,10,Granada,Round 10
11,66%,44,16,4,118,7,Valencia,22/11/20,13,34%,42,21,11,114,9,Alavés,Round 10
