Round,Date,HomeTeam,HomeGoals,HomeYellows,HomeReds,HomeSecondYellows,AwayTeam,AwayGoals,AwayYellows,AwayReds,AwaySecondYellows,Referee,RefereeYellows,RefereeReds,Stadium,Location,Attendance
Round 35,29/04/18,Valencia,0,2,0,0,Eibar,0,3,0,0,Santiago Jaime Latre,5.58,0.22,Mestalla,"Valencia, Spain",40328
Round 35,29/04/18,Deportivo,2,1,0,0,Barcelona,4,1,0,0,Ricardo De Burgos Bengoetxea,4.96,0.17,Riazor,"La Coruna, Spain",25721
Round 35,30/04/18,Betis,2,1,0,0,Málaga,1,4,0,0,Carlos Del Cerro Grande,4.81,0.22,Benito Villamarin,"Seville, Spain",53163
Round 34,20/04/18,Leganés,0,0,0,0,Deportivo,0,2,0,0,Alfonso Alvarez Izquierdo,5.72,0.36,Estadio Municipal de Butarque,"Leganes, Spain",10124
Round 34,21/04/18,Eibar,0,4,0,0,Getafe,1,1,0,0,Ignacio Iglesias Villanueva,5.62,0.35,Ipurua Municipal Stadium,"Eibar, Spain",4860
Round 34,21/04/18,Celta,1,1,0,0,Valencia,1,2,0,0,Alberto Undiano,4.53,0.14,Municipal de Balaidos,"Vigo, Spain",17316
Round 34,22/04/18,Girona,0,1,0,0,Espanyol,2,2,0,0,Javier Alberola Rojas,3.7,0.15,Estadi Montilivi,"Girona, Spain",12313
Round 34,22/04/18,Málaga,2,4,0,0,Real Sociedad,0,1,0,0,Javier Estrada Fernandez,5.38,0.25,La Rosaleda,"Malaga, Spain",14102
Round 34,22/04/18,Las Palmas,0,2,0,0,Alavés,4,2,0,0,Mario Melero Lopez,5.55,0.21,Gran Canaria,"Las Palmas de Gran Canaria, Spain",7143
Round 34,22/04/18,Atl. Madrid,0,2,0,0,Betis,0,5,0,0,Juan Martinez Munuera,4.9,0.19,Cívitas Metropolitano,"Madrid, Spain",67703
Round 34,23/04/18,Athletic Club,1,3,0,0,Levante,3,3,0,0,José Luis Munuera Montero,4.75,0.37,San Mamés,"Bilbao, Spain",24587
Round 34,9/5/2018,Barcelona,5,0,0,0,Villarreal,1,3,0,0,Jose Maria Sanchez Martinez,5.74,0.28,Spotify Camp Nou,"Barcelona, Spain",54743
Round 34,9/5/2018,Sevilla,3,3,0,0,Real Madrid,2,1,0,0,Antonio Mateu Lahoz,5.18,0.22,Ramón Sánchez Pizjuán,"Seville, Spain",38524
Round 33,17/04/18,Deportivo,0,0,0,0,Sevilla,0,2,0,0,David Medie Jimenez,4.94,0.31,Riazor,"La Coruna, Spain",24374
Round 33,17/04/18,Celta,2,3,0,0,Barcelona,2,0,1,0,David Fernandez Borbalan,5.63,0.31,Municipal de Balaidos,"Vigo, Spain",20347
Round 33,17/04/18,Villarreal,2,1,0,0,Leganés,1,1,0,0,Daniel Jesus Trujillo Suarez,4.75,0.26,Estadio de la Ceramica,"Villarreal, Spain",12556
